Judul,Tanggal,Deskripsi,Kategori,Link
Potret Ahmadiyah Sukabumi dalam Bayang-bayang Janji Politik,"Sabtu, 21 Des 2024 22:30 WIB","Di tengah hiruk-pikuk pilkada Sukabumi, komunitas Ahmadiyah berharap kesetaraan hak sebagai warga negara. Mereka tetap berpegang pada netralitas politik.",berita jabarsukabumiahmadiyahahmadiyah sukabumipilkada,https://www.detik.com/jabar/berita/d-7697032/potret-ahmadiyah-sukabumi-dalam-bayang-bayang-janji-politik
"Operasi Lilin Candi 2024, 1.141 Personel Amankan Nataru di Jateng","Jumat, 20 Des 2024 14:34 WIB",Polda Jateng gelar Apel Operasi Lilin Candi 2024 dengan 1.141 personel TNI-Polri dan lainnya untuk amankan Natal dan Tahun Baru.,operasi lilin candipolda jatengpengamanan nataruoperasi lilinkeamanan natalkeamanan tahun barusemarangberita jateng,https://www.detik.com/jateng/berita/d-7695873/operasi-lilin-candi-2024-1-141-personel-amankan-nataru-di-jateng
Drama Artis Indonesia 2024: Orang Ketiga-Gagal Nikah Lagi,"Jumat, 20 Des 2024 11:40 WIB","Sepanjang 2024, kisah selebritas Indonesia penuh drama. Ada soal orang ketiga hingga gagal nikah lagi.",N/A,https://www.detik.com/pop/trending/d-7695518/drama-artis-indonesia-2024-orang-ketiga-gagal-nikah-lagi
8 Kejadian Paling Heboh dari Artis Indonesia Selama 2024,"Kamis, 19 Des 2024 18:01 WIB","Tahun ini, dunia hiburan dipenuhi berita menarik, dari pernikahan artis hingga kasus korupsi. Simak momen-momen penting yang menghebohkan publik!",N/A,https://www.detik.com/pop/trending/d-7694136/8-kejadian-paling-heboh-dari-artis-indonesia-selama-2024
"Bayu Airlangga Dukung Pilkada Lewat DPRD, Ini Alasannya","Kamis, 19 Des 2024 11:18 WIB",Politisi Golkar Bayu Airlangga dukung gagasan Prabowo soal Pilkada lewat DPRD. Ia sebut ini solusi efisiensi untuk mendapat pemimpin berkualitas.,pilkadabayu airlanggadprdprabowo subiantopartai golkarpilkada lewat dprdsurabaya,https://www.detik.com/jatim/pilkada/d-7693761/bayu-airlangga-dukung-pilkada-lewat-dprd-ini-alasannya
PDRI dan Peringatan Hari Bela Negara,"Rabu, 18 Des 2024 11:56 WIB","Meskipun hari lahir PDRI sudah ditetapkan sebagai Hari Bela Negara sejak 18 tahun silam, namun kalau kita mau jujur, belum terasa sebagai sebuah hari nasional.",hari bela negarahari bela negara 19 desemberpdri,https://news.detik.com/kolom/d-7692167/pdri-dan-peringatan-hari-bela-negara
Pakar Politik Undip Sebut Jokowi Jadi 'Free Man' Usai Dipecat PDIP,"Selasa, 17 Des 2024 21:35 WIB","Pakar politik Universitas Diponegoro (Undip), Wahid Abdulrahman menilai Jokowi tetap memiliki daya tarik meski kini tak bergabung di partai manapun.",berita jatengpemecatan jokowijokowi dipecat pdipsemarangjokowipdipmegawati soekarnoputri,https://www.detik.com/jateng/berita/d-7691566/pakar-politik-undip-sebut-jokowi-jadi-free-man-usai-dipecat-pdip
Polemik Pilkada 2024: PDIP Pecat Kader dari Bali hingga NTB,"Selasa, 17 Des 2024 12:49 WIB","PDIP memecat 27 kader, termasuk Jokowi dan Gibran, karena pelanggaran etik terkait Pilkada 2024. Pemecatan berdasarkan keputusan resmi partai.",pdipkode etikpilkada 2024pelanggaran etikjoko widodogibran rakabuming rakabobby nasutionpemecatan kader,https://www.detik.com/bali/pilkada/d-7690443/polemik-pilkada-2024-pdip-pecat-kader-dari-bali-hingga-ntb
"Dari Jokowi hingga Gibran, Ini Daftar Lengkap 27 Kader PDIP Kena Pecat","Selasa, 17 Des 2024 11:24 WIB","27 kader yang dipecat PDIP tersebut termasuk Presiden RI ke-7 Joko Widodo (Jokowi), Wapres Gibran Rakabuming Raka, dan Gubernur Sumut terpilih Bobby Nasution.",pdippdip pecat jokowipdip pecat gibranpdip pecat bobby nasutionjokowigibran rakabuming rakabobby nasution,https://news.detik.com/berita/d-7690269/dari-jokowi-hingga-gibran-ini-daftar-lengkap-27-kader-pdip-kena-pecat
9 Juta Orang Diprediksi Masuk Jateng Saat Natal-Tahun Baru,"Senin, 16 Des 2024 17:05 WIB",Pj Gubernur Jawa Tengah Nana Sudjana mengatakan sebanyak 9.165.289 jiwa diprediksi memasuki wilayah Jawa Tengah di masa libur Natal 2024 dan Tahun Baru 2025.,libur natal dan tahun barunataltahun barulibur natarujawa tengahjateng,https://news.detik.com/berita/d-7689375/9-juta-orang-diprediksi-masuk-jateng-saat-natal-tahun-baru
